system,ic_index,ic,model,seed,vpt_steps,vpt_lyap,diverged,wasserstein
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",elm300,0,22,0.9961599999999999,True,2.108077252798142
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",elm300,1,64,2.89792,False,2.558273129086758
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",elm300,2,22,0.9961599999999999,True,2.178477107340611
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",qrc_rich,0,36,1.63008,False,0.1636481906025201
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",qrc_rich,1,8,0.36224,False,0.1510561352328722
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",qrc_rich,2,20,0.9056,False,0.13569088893471207
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",ngrc,0,17,0.76976,True,6.5397253327897255e+193
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",esn300,0,11,0.49807999999999997,False,0.016605302313474672
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",esn300,1,6,0.27168,False,0.024038093610165963
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",esn300,2,6,0.27168,False,0.025031322994886918
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",elm300,0,17,0.76976,True,3.3174596798633837
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",elm300,1,14,0.6339199999999999,False,4.349900562084665
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",elm300,2,15,0.6792,True,3.010027241056001
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",qrc_rich,0,13,0.5886399999999999,False,0.2606428250337368
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",qrc_rich,1,7,0.31695999999999996,False,0.19253040564045829
lorenz,3,"{'s0': (np.float64(-0.24094979963988084), np.float64(1.9796841003703964), np.float64(1.7137740163201216))}",qrc_rich,2,13,0.5886399999999999,False,0.2504015540689671
lorenz,4,"{'s0': (np.float64(1.210828497995797), np.float64(-0.8609360894164093), np.float64(0.941496355073453))}",ngrc,0,8,0.36224,True,6.673270017898777e+263
lorenz,4,"{'s0': (np.float64(1.210828497995797), np.float64(-0.8609360894164093), np.float64(0.941496355073453))}",esn300,0,8,0.36224,True,10.113707211976642
lorenz,4,"{'s0': (np.float64(1.210828497995797), np.float64(-0.8609360894164093), np.float64(0.941496355073453))}",esn300,1,7,0.31695999999999996,False,0.05544233358318551
lorenz,4,"{'s0': (np.float64(1.210828497995797), np.float64(-0.8609360894164093), np.float64(0.941496355073453))}",esn300,2,9,0.40752,False,0.1369678142207385
lorenz,4,"{'s0': (np.float64(1.210828497995797), np.float64(-0.8609360894164093), np.float64(0.941496355073453))}",elm300,0,28,1.2678399999999999,True,2.789434104592001
lorenz,4,"{'s0': (np.float64(1.210828497995797), np.float64(-0.8609360894164093), np.float64(0.941496355073453))}",elm300,1,35,1.5848,False,3.984046733454617
lorenz,4,"{'s0': (np.float64(1.210828497995797), np.float64(-0.8609360894164093), np.float64(0.941496355073453))}",elm300,2,35,1.5848,False,2.5800406095920563
lorenz,4,"{'s0': (np.float64(1.210828497995797), np.float64(-0.8609360894164093), np.float64(0.941496355073453))}",qrc_rich,0,11,0.49807999999999997,False,0.18730340319247044
lorenz,4,"{'s0': (np.float64(1.210828497995797), np.float64(-0.8609360894164093), np.float64(0.941496355073453))}",qrc_rich,1,8,0.36224,False,0.16751804749046678
lorenz,4,"{'s0': (np.float64(1.210828497995797), np.float64(-0.8609360894164093), np.float64(0.941496355073453))}",qrc_rich,2,10,0.4528,False,0.13261581259231883
lorenz,5,"{'s0': (np.float64(2.3906063889165754), np.float64(-1.6884290945701639), np.float64(0.08476847791956366))}",ngrc,0,12,0.54336,True,5.500181516226608e+105
lorenz,5,"{'s0': (np.float64(2.3906063889165754), np.float64(-1.6884290945701639), np.float64(0.08476847791956366))}",esn300,0,41,1.85648,True,4.556994254405975
lorenz,5,"{'s0': (np.float64(2.3906063889165754), np.float64(-1.6884290945701639), np.float64(0.08476847791956366))}",esn300,1,13,0.5886399999999999,False,0.06325084292293956
lorenz,5,"{'s0': (np.float64(2.3906063889165754), np.float64(-1.6884290945701639), np.float64(0.08476847791956366))}",esn300,2,33,1.49424,False,0.006551531423049221
lorenz,5,"{'s0': (np.float64(2.3906063889165754), np.float64(-1.6884290945701639), np.float64(0.08476847791956366))}",elm300,0,28,1.2678399999999999,True,2.6036978060364375
lorenz,5,"{'s0': (np.float64(2.3906063889165754), np.float64(-1.6884290945701639), np.float64(0.08476847791956366))}",elm300,1,59,2.67152,False,3.052800391168129
lorenz,5,"{'s0': (np.float64(2.3906063889165754), np.float64(-1.6884290945701639), np.float64(0.08476847791956366))}",elm300,2,28,1.2678399999999999,False,2.10675540276873
lorenz,5,"{'s0': (np.float64(2.3906063889165754), np.float64(-1.6884290945701639), np.float64(0.08476847791956366))}",qrc_rich,0,29,1.31312,False,0.08747944807361621
lorenz,5,"{'s0': (np.float64(2.3906063889165754), np.float64(-1.6884290945701639), np.float64(0.08476847791956366))}",qrc_rich,1,11,0.49807999999999997,False,0.2247786933360829
lorenz,5,"{'s0': (np.float64(2.3906063889165754), np.float64(-1.6884290945701639), np.float64(0.08476847791956366))}",qrc_rich,2,12,0.54336,False,0.2382449564832952
lorenz,6,"{'s0': (np.float64(-2.802445479601688), np.float64(-1.5790754795699522), np.float64(-2.6834700755834646))}",ngrc,0,10,0.4528,True,5.350777983406042e+197
lorenz,6,"{'s0': (np.float64(-2.802445479601688), np.float64(-1.5790754795699522), np.float64(-2.6834700755834646))}",esn300,0,30,1.3584,False,0.052238722799236484
lorenz,6,"{'s0': (np.float64(-2.802445479601688), np.float64(-1.5790754795699522), np.float64(-2.6834700755834646))}",esn300,1,14,0.6339199999999999,False,0.08191766653697731
lorenz,6,"{'s0': (np.float64(-2.802445479601688), np.float64(-1.5790754795699522), np.float64(-2.6834700755834646))}",esn300,2,28,1.2678399999999999,False,0.04275751944865188
lorenz,6,"{'s0': (np.float64(-2.802445479601688), np.float64(-1.5790754795699522), np.float64(-2.6834700755834646))}",elm300,0,30,1.3584,True,2.558632000739994
lorenz,6,"{'s0': (np.float64(-2.802445479601688), np.float64(-1.5790754795699522), np.float64(-2.6834700755834646))}",elm300,1,38,1.72064,False,2.2588006655057544
